status(十进制/十六进制),message,含义
0,None,正常
1,Unknown,未知异常
2,BadRLP,无效RLP异常
3,InvalidFormat,无效格式异常
4,OutOfGasIntrinsic,部署的合约长度超过gas限制/调用合约接口参数超过gas限制
5,InvalidSignature,无效的签名异常
6,InvalidNonce,无效nonce异常
7,NotEnoughCash,cash不足异常
8,OutOfGasBase,调用合约的参数过长 (RC版本)
9,BlockGasLimitReached,GasLimit异常
10,BadInstruction,错误指令异常
11,BadJumpDestination,错误目的跳转异常
12,OutOfGas,合约执行时gas不足 / 部署的合约长度超过最长上限
13,OutOfStack,栈溢出异常
14,StackUnderflow,栈下限溢位异常
15,NonceCheckFail,nonce检测失败异常
16,BlockLimitCheckFail,blocklimit检测失败异常
17,FilterCheckFail,filter检测失败异常
18,NoDeployPermission,非法部署合约异常
19,NoCallPermission,非法call合约异常
20,NoTxPermission,非法交易异常
21,PrecompiledError,precompiled错误异常
22,RevertInstruction,revert指令异常
23,InvalidZeroSignatureFormat,无效签名格式异常
24,AddressAlreadyUsed,地址占用异常
25,PermissionDenied,无权限异常
26,CallAddressError,被调用的合约地址不存在
27,GasOverflow,Gas溢出错误
28,TxPoolIsFull,交易池已满异常
29,TransactionRefused,交易被拒绝异常
30,ContractFrozen,合约被冻结异常
31,AccountFrozen,账户被冻结异常
10000,AlreadyKnown,交易已经在交易池中
10001,AlreadyInChain,交易已经上链异常
10002,InvalidChainId,无效的链ID异常
10003,InvalidGroupId,无效的群组ID异常
10004,RequestNotBelongToTheGroup,请求不属于群组异常
10005,MalformedTx,交易格式错误
10006,OverGroupMemoryLimit,超出群组内存限制异常
